Date,DepartmentID,Account,Category,Amount
2022-01-01,6,Investment Income,Income,218261
2022-01-01,6,Commission Income,Income,250181
2022-01-01,6,Claims Paid,Claims,176829
2022-01-01,6,Claims Incurred,Claims,276836
2022-01-01,6,Loss Adjustment Expenses,Claims,207283
2022-01-01,6,Staff Costs,Expense,66697
2022-01-01,6,IT Expenses,Expense,38065
2022-01-01,6,Marketing,Expense,93093
2022-01-01,6,Office Costs,Expense,33606
2022-01-01,6,Depreciation,Expense,12534
2022-01-01,6,Professional Services,Expense,95663
2022-01-01,7,Gross Written Premium,Income,50397
2022-01-01,7,Net Earned Premium,Income,267750
2022-01-01,7,Reinsurance Recoveries,Income,363531
2022-01-01,7,Investment Income,Income,273160
2022-01-01,7,Commission Income,Income,493005
2022-01-01,7,Claims Paid,Claims,60591
2022-01-01,7,Claims Incurred,Claims,225884
2022-01-01,7,Loss Adjustment Expenses,Claims,28247
2022-01-01,7,Staff Costs,Expense,25300
2022-01-01,7,IT Expenses,Expense,75065
2022-01-01,7,Marketing,Expense,83798
2022-01-01,7,Office Costs,Expense,10268
2022-01-01,7,Depreciation,Expense,87807
2022-01-01,7,Professional Services,Expense,13185
2022-01-01,8,Gross Written Premium,Income,204776
2022-01-01,8,Net Earned Premium,Income,227851
2022-01-01,8,Reinsurance Recoveries,Income,442315
2022-01-01,8,Investment Income,Income,411787
2022-01-01,8,Commission Income,Income,246584
2022-01-01,8,Claims Paid,Claims,43044
2022-01-01,8,Claims Incurred,Claims,53984
2022-01-01,8,Loss Adjustment Expenses,Claims,269712
2022-01-01,8,Staff Costs,Expense,63592
2022-01-01,8,IT Expenses,Expense,68563
2022-01-01,8,Marketing,Expense,3695
2022-01-01,8,Office Costs,Expense,49190
2022-01-01,8,Depreciation,Expense,6258
2022-01-01,8,Professional Services,Expense,88538
2022-01-01,9,Gross Written Premium,Income,311648
2022-01-01,9,Net Earned Premium,Income,174231
2022-01-01,9,Reinsurance Recoveries,Income,23986
2022-01-01,9,Investment Income,Income,71858
2022-01-01,9,Commission Income,Income,139312
2022-01-01,9,Claims Paid,Claims,17666
2022-01-01,9,Claims Incurred,Claims,139633
2022-01-01,9,Loss Adjustment Expenses,Claims,293998
2022-01-01,9,Staff Costs,Expense,65505
2022-01-01,9,IT Expenses,Expense,53251
2022-01-01,9,Marketing,Expense,23662
2022-01-01,9,Office Costs,Expense,9392
2022-01-01,9,Depreciation,Expense,31535
2022-01-01,9,Professional Services,Expense,79603
2022-01-01,10,Gross Written Premium,Income,385713
2022-01-01,10,Net Earned Premium,Income,324400
2022-01-01,10,Reinsurance Recoveries,Income,361279
2022-01-01,10,Investment Income,Income,399622
2022-01-01,10,Commission Income,Income,307366
2022-01-01,10,Claims Paid,Claims,82373
2022-01-01,10,Claims Incurred,Claims,128684
2022-01-01,10,Loss Adjustment Expenses,Claims,278109
2022-01-01,10,Staff Costs,Expense,25538
2022-01-01,10,IT Expenses,Expense,71592
2022-01-01,10,Marketing,Expense,99018
2022-01-01,10,Office Costs,Expense,9110
2022-01-01,10,Depreciation,Expense,80309
2022-01-01,10,Professional Services,Expense,28266
2022-02-01,1,Gross Written Premium,Income,194064
2022-02-01,1,Net Earned Premium,Income,224020
2022-02-01,1,Reinsurance Recoveries,Income,108806
2022-02-01,1,Investment Income,Income,410126
2022-02-01,1,Commission Income,Income,383133
2022-02-01,1,Claims Paid,Claims,95982
2022-02-01,1,Claims Incurred,Claims,126626
2022-02-01,1,Loss Adjustment Expenses,Claims,124176
2022-02-01,1,Staff Costs,Expense,1206
2022-02-01,1,IT Expenses,Expense,88054
2022-02-01,1,Marketing,Expense,88897
2022-02-01,1,Office Costs,Expense,24419
2022-02-01,1,Depreciation,Expense,51636
2022-02-01,1,Professional Services,Expense,51015
2022-02-01,2,Gross Written Premium,Income,258550
2022-02-01,2,Net Earned Premium,Income,132096
2022-02-01,2,Reinsurance Recoveries,Income,117059
2022-02-01,2,Investment Income,Income,195340
2022-02-01,2,Commission Income,Income,120687
2022-02-01,2,Claims Paid,Claims,216428
2022-02-01,2,Claims Incurred,Claims,110878
2022-02-01,2,Loss Adjustment Expenses,Claims,207982
2022-02-01,2,Staff Costs,Expense,57044
2022-02-01,2,IT Expenses,Expense,68214
2022-02-01,2,Marketing,Expense,34827
2022-02-01,2,Office Costs,Expense,56820
2022-02-01,2,Depreciation,Expense,63623
2022-02-01,2,Professional Services,Expense,82734
2022-02-01,3,Gross Written Premium,Income,347594
2022-02-01,3,Net Earned Premium,Income,365570
2022-02-01,3,Reinsurance Recoveries,Income,389989
2022-02-01,3,Investment Income,Income,425515
2022-02-01,3,Commission Income,Income,53585
2022-02-01,3,Claims Paid,Claims,69044
2022-02-01,3,Claims Incurred,Claims,114556
2022-02-01,3,Loss Adjustment Expenses,Claims,7693
2022-02-01,3,Staff Costs,Expense,96003
2022-02-01,3,IT Expenses,Expense,96259
2022-02-01,3,Marketing,Expense,70163
2022-02-01,3,Office Costs,Expense,26939
2022-02-01,3,Depreciation,Expense,49925
2022-02-01,3,Professional Services,Expense,43941
2022-02-01,4,Gross Written Premium,Income,162906
2022-02-01,4,Net Earned Premium,Income,28047
2022-02-01,4,Reinsurance Recoveries,Income,298249
2022-02-01,4,Investment Income,Income,85766
2022-02-01,4,Commission Income,Income,418923
2022-02-01,4,Claims Paid,Claims,49262
2022-02-01,4,Claims Incurred,Claims,290920
2022-02-01,4,Loss Adjustment Expenses,Claims,166152
2022-02-01,4,Staff Costs,Expense,67842
2022-02-01,4,IT Expenses,Expense,62373
2022-02-01,4,Marketing,Expense,7776
2022-02-01,4,Office Costs,Expense,93787
2022-02-01,4,Depreciation,Expense,56016
2022-02-01,4,Professional Services,Expense,10474
2022-02-01,5,Gross Written Premium,Income,461269
2022-02-01,5,Net Earned Premium,Income,31959
2022-02-01,5,Reinsurance Recoveries,Income,146602
2022-02-01,5,Investment Income,Income,235928
2022-02-01,5,Commission Income,Income,391245
2022-02-01,5,Claims Paid,Claims,270892
2022-02-01,5,Claims Incurred,Claims,233576
2022-02-01,5,Loss Adjustment Expenses,Claims,18545
2022-02-01,5,Staff Costs,Expense,67199
2022-02-01,5,IT Expenses,Expense,35766
2022-02-01,5,Marketing,Expense,74530
2022-02-01,5,Office Costs,Expense,94557
2022-02-01,5,Depreciation,Expense,62087
2022-02-01,5,Professional Services,Expense,96839
2022-02-01,6,Gross Written Premium,Income,78840
2022-02-01,6,Net Earned Premium,Income,128451
2022-02-01,6,Reinsurance Recoveries,Income,457600
2022-02-01,6,Investment Income,Income,323149
2022-02-01,6,Commission Income,Income,449792
2022-02-01,6,Claims Paid,Claims,44353
2022-02-01,6,Claims Incurred,Claims,198075
2022-02-01,6,Loss Adjustment Expenses,Claims,219283
2022-02-01,6,Staff Costs,Expense,53733
2022-02-01,6,IT Expenses,Expense,66318
2022-02-01,6,Marketing,Expense,90474
2022-02-01,6,Office Costs,Expense,24664
2022-02-01,6,Depreciation,Expense,68172
2022-02-01,6,Professional Services,Expense,86616
2022-02-01,7,Gross Written Premium,Income,266951
2022-02-01,7,Net Earned Premium,Income,103264
2022-02-01,7,Reinsurance Recoveries,Income,256458
2022-02-01,7,Investment Income,Income,298880
2022-02-01,7,Commission Income,Income,235281
2022-02-01,7,Claims Paid,Claims,117859
2022-02-01,7,Claims Incurred,Claims,274536
2022-02-01,7,Loss Adjustment Expenses,Claims,262426
2022-02-01,7,Staff Costs,Expense,47717
2022-02-01,7,IT Expenses,Expense,88092
2022-02-01,7,Marketing,Expense,51859
2022-02-01,7,Office Costs,Expense,27309
2022-02-01,7,Depreciation,Expense,88455
2022-02-01,7,Professional Services,Expense,64734
2022-02-01,8,Gross Written Premium,Income,80467
2022-02-01,8,Net Earned Premium,Income,193734
2022-02-01,8,Reinsurance Recoveries,Income,108506
2022-02-01,8,Investment Income,Income,119751
2022-02-01,8,Commission Income,Income,391050
2022-02-01,8,Claims Paid,Claims,292486
2022-02-01,8,Claims Incurred,Claims,173229
2022-02-01,8,Loss Adjustment Expenses,Claims,111081
2022-02-01,8,Staff Costs,Expense,66733
2022-02-01,8,IT Expenses,Expense,90045
2022-02-01,8,Marketing,Expense,35698
2022-02-01,8,Office Costs,Expense,81623
2022-02-01,8,Depreciation,Expense,23671
2022-02-01,8,Professional Services,Expense,26184
2022-02-01,9,Gross Written Premium,Income,365528
2022-02-01,9,Net Earned Premium,Income,445323
2022-02-01,9,Reinsurance Recoveries,Income,96202
2022-02-01,9,Investment Income,Income,61663
2022-02-01,9,Commission Income,Income,25708
2022-02-01,9,Claims Paid,Claims,138883
2022-02-01,9,Claims Incurred,Claims,117547
2022-02-01,9,Loss Adjustment Expenses,Claims,39754
2022-02-01,9,Staff Costs,Expense,96742
2022-02-01,9,IT Expenses,Expense,12411
2022-02-01,9,Marketing,Expense,3911
2022-02-01,9,Office Costs,Expense,68270
2022-02-01,9,Depreciation,Expense,84763
2022-02-01,9,Professional Services,Expense,9680
2022-02-01,10,Gross Written Premium,Income,94896
2022-02-01,10,Net Earned Premium,Income,487095
2022-02-01,10,Reinsurance Recoveries,Income,81295
2022-02-01,10,Investment Income,Income,229686
2022-02-01,10,Commission Income,Income,372833
2022-02-01,10,Claims Paid,Claims,278255
2022-02-01,10,Claims Incurred,Claims,137874
2022-02-01,10,Loss Adjustment Expenses,Claims,13155
2022-02-01,10,Staff Costs,Expense,74656
2022-02-01,10,IT Expenses,Expense,40384
2022-02-01,10,Marketing,Expense,48254
2022-02-01,10,Office Costs,Expense,22918
2022-02-01,10,Depreciation,Expense,86981
2022-02-01,10,Professional Services,Expense,61713
2022-03-01,1,Gross Written Premium,Income,40306
2022-03-01,1,Net Earned Premium,Income,157718
2022-03-01,1,Reinsurance Recoveries,Income,318987
2022-03-01,1,Investment Income,Income,130975
2022-03-01,1,Commission Income,Income,368745
2022-03-01,1,Claims Paid,Claims,112512
2022-03-01,1,Claims Incurred,Claims,152443
2022-03-01,1,Loss Adjustment Expenses,Claims,138121
2022-03-01,1,Staff Costs,Expense,32616
2022-03-01,1,IT Expenses,Expense,21932
2022-03-01,1,Marketing,Expense,30855
2022-03-01,1,Office Costs,Expense,62434
2022-03-01,1,Depreciation,Expense,73694
2022-03-01,1,Professional Services,Expense,44016
2022-03-01,2,Gross Written Premium,Income,279544
2022-03-01,2,Net Earned Premium,Income,390002
2022-03-01,2,Reinsurance Recoveries,Income,183714
2022-03-01,2,Investment Income,Income,25151
2022-03-01,2,Commission Income,Income,454623
2022-03-01,2,Claims Paid,Claims,71690
2022-03-01,2,Claims Incurred,Claims,9499
2022-03-01,2,Loss Adjustment Expenses,Claims,11295
2022-03-01,2,Staff Costs,Expense,60040
2022-03-01,2,IT Expenses,Expense,13183
2022-03-01,2,Marketing,Expense,30299
2022-03-01,2,Office Costs,Expense,13874
2022-03-01,2,Depreciation,Expense,33711
2022-03-01,2,Professional Services,Expense,6539
2022-03-01,3,Gross Written Premium,Income,194423
2022-03-01,3,Net Earned Premium,Income,464483
2022-03-01,3,Reinsurance Recoveries,Income,189426
2022-03-01,3,Investment Income,Income,398207
2022-03-01,3,Commission Income,Income,143629
2022-03-01,3,Claims Paid,Claims,218090
2022-03-01,3,Claims Incurred,Claims,138272
2022-03-01,3,Loss Adjustment Expenses,Claims,248548
2022-03-01,3,Staff Costs,Expense,69497
2022-03-01,3,IT Expenses,Expense,47975
2022-03-01,3,Marketing,Expense,22357
2022-03-01,3,Office Costs,Expense,78505
2022-03-01,3,Depreciation,Expense,3869
2022-03-01,3,Professional Services,Expense,62135
2022-03-01,4,Gross Written Premium,Income,322252
2022-03-01,4,Net Earned Premium,Income,122296
2022-03-01,4,Reinsurance Recoveries,Income,104179
2022-03-01,4,Investment Income,Income,100272
2022-03-01,4,Commission Income,Income,48467
2022-03-01,4,Claims Paid,Claims,290472
2022-03-01,4,Claims Incurred,Claims,140059
2022-03-01,4,Loss Adjustment Expenses,Claims,63871
2022-03-01,4,Staff Costs,Expense,23399
2022-03-01,4,IT Expenses,Expense,47214
2022-03-01,4,Marketing,Expense,87416
2022-03-01,4,Office Costs,Expense,71271
2022-03-01,4,Depreciation,Expense,45064
2022-03-01,4,Professional Services,Expense,71091
2022-03-01,5,Gross Written Premium,Income,117450
2022-03-01,5,Net Earned Premium,Income,181890
2022-03-01,5,Reinsurance Recoveries,Income,448741
2022-03-01,5,Investment Income,Income,291974
2022-03-01,5,Commission Income,Income,420645
2022-03-01,5,Claims Paid,Claims,121381
2022-03-01,5,Claims Incurred,Claims,52333
2022-03-01,5,Loss Adjustment Expenses,Claims,139508
2022-03-01,5,Staff Costs,Expense,75290
2022-03-01,5,IT Expenses,Expense,77213
2022-03-01,5,Marketing,Expense,6895
2022-03-01,5,Office Costs,Expense,20738
2022-03-01,5,Depreciation,Expense,31746
2022-03-01,5,Professional Services,Expense,50377
2022-03-01,6,Gross Written Premium,Income,451620
2022-03-01,6,Net Earned Premium,Income,326189
2022-03-01,6,Reinsurance Recoveries,Income,370032
2022-03-01,6,Investment Income,Income,443006
2022-03-01,6,Commission Income,Income,379599
2022-03-01,6,Claims Paid,Claims,141672
2022-03-01,6,Claims Incurred,Claims,230732
2022-03-01,6,Loss Adjustment Expenses,Claims,176836
2022-03-01,6,Staff Costs,Expense,75543
2022-03-01,6,IT Expenses,Expense,46714
2022-03-01,6,Marketing,Expense,57835
2022-03-01,6,Office Costs,Expense,74744
2022-03-01,6,Depreciation,Expense,57491
2022-03-01,6,Professional Services,Expense,19589
2022-03-01,7,Gross Written Premium,Income,315628
2022-03-01,7,Net Earned Premium,Income,92989
2022-03-01,7,Reinsurance Recoveries,Income,308356
2022-03-01,7,Investment Income,Income,315669
2022-03-01,7,Commission Income,Income,188274
2022-03-01,7,Claims Paid,Claims,168707
2022-03-01,7,Claims Incurred,Claims,270564
2022-03-01,7,Loss Adjustment Expenses,Claims,136373
2022-03-01,7,Staff Costs,Expense,46236
2022-03-01,7,IT Expenses,Expense,67235
2022-03-01,7,Marketing,Expense,55240
2022-03-01,7,Office Costs,Expense,66726
2022-03-01,7,Depreciation,Expense,11492
2022-03-01,7,Professional Services,Expense,7102
2022-03-01,8,Gross Written Premium,Income,191408
2022-03-01,8,Net Earned Premium,Income,128015
2022-03-01,8,Reinsurance Recoveries,Income,226386
2022-03-01,8,Investment Income,Income,264079
2022-03-01,8,Commission Income,Income,36641
2022-03-01,8,Claims Paid,Claims,170656
2022-03-01,8,Claims Incurred,Claims,168817
2022-03-01,8,Loss Adjustment Expenses,Claims,41631
2022-03-01,8,Staff Costs,Expense,73991
2022-03-01,8,IT Expenses,Expense,5014
2022-03-01,8,Marketing,Expense,12093
2022-03-01,8,Office Costs,Expense,19070
2022-03-01,8,Depreciation,Expense,36777
2022-03-01,8,Professional Services,Expense,57958
2022-03-01,9,Gross Written Premium,Income,92074
2022-03-01,9,Net Earned Premium,Income,20729
2022-03-01,9,Reinsurance Recoveries,Income,240785
2022-03-01,9,Investment Income,Income,186089
2022-03-01,9,Commission Income,Income,207392
2022-03-01,9,Claims Paid,Claims,163823
2022-03-01,9,Claims Incurred,Claims,110864
2022-03-01,9,Loss Adjustment Expenses,Claims,214141
2022-03-01,9,Staff Costs,Expense,55748
2022-03-01,9,IT Expenses,Expense,6801
2022-03-01,9,Marketing,Expense,20190
2022-03-01,9,Office Costs,Expense,50689
2022-03-01,9,Depreciation,Expense,51993
2022-03-01,9,Professional Services,Expense,30592
2022-03-01,10,Gross Written Premium,Income,282791
2022-03-01,10,Net Earned Premium,Income,149788
2022-03-01,10,Reinsurance Recoveries,Income,229963
2022-03-01,10,Investment Income,Income,490761
2022-03-01,10,Commission Income,Income,258710
2022-03-01,10,Claims Paid,Claims,225984
2022-03-01,10,Claims Incurred,Claims,263067
2022-03-01,10,Loss Adjustment Expenses,Claims,269512
2022-03-01,10,Staff Costs,Expense,78575
2022-03-01,10,IT Expenses,Expense,7655
2022-03-01,10,Marketing,Expense,71031
2022-03-01,10,Office Costs,Expense,77429
2022-03-01,10,Depreciation,Expense,92083
2022-03-01,10,Professional Services,Expense,88922
2022-04-01,1,Gross Written Premium,Income,458982
2022-04-01,1,Net Earned Premium,Income,134046
2022-04-01,1,Reinsurance Recoveries,Income,416619
2022-04-01,1,Investment Income,Income,42097
2022-04-01,1,Commission Income,Income,481873
2022-04-01,1,Claims Paid,Claims,147038
2022-04-01,1,Claims Incurred,Claims,129862
2022-04-01,1,Loss Adjustment Expenses,Claims,235229
2022-04-01,1,Staff Costs,Expense,94848
2022-04-01,1,IT Expenses,Expense,53921
2022-04-01,1,Marketing,Expense,50726
2022-04-01,1,Office Costs,Expense,51300
2022-04-01,1,Depreciation,Expense,23677
2022-04-01,1,Professional Services,Expense,56609
2022-04-01,2,Gross Written Premium,Income,237897
2022-04-01,2,Net Earned Premium,Income,459877
2022-04-01,2,Reinsurance Recoveries,Income,41024
2022-04-01,2,Investment Income,Income,80313
2022-04-01,2,Commission Income,Income,399957
2022-04-01,2,Claims Paid,Claims,189078
2022-04-01,2,Claims Incurred,Claims,118632
2022-04-01,2,Loss Adjustment Expenses,Claims,256451
2022-04-01,2,Staff Costs,Expense,4051
2022-04-01,2,IT Expenses,Expense,49747
2022-04-01,2,Marketing,Expense,88142
2022-04-01,2,Office Costs,Expense,88235
2022-04-01,2,Depreciation,Expense,55021
2022-04-01,2,Professional Services,Expense,67412
2022-04-01,3,Gross Written Premium,Income,199407
2022-04-01,3,Net Earned Premium,Income,459395
2022-04-01,3,Reinsurance Recoveries,Income,435309
2022-04-01,3,Investment Income,Income,472894
2022-04-01,3,Commission Income,Income,221810
2022-04-01,3,Claims Paid,Claims,208687
2022-04-01,3,Claims Incurred,Claims,78523
2022-04-01,3,Loss Adjustment Expenses,Claims,241175
2022-04-01,3,Staff Costs,Expense,95476
2022-04-01,3,IT Expenses,Expense,18019
2022-04-01,3,Marketing,Expense,84613
2022-04-01,3,Office Costs,Expense,92794
2022-04-01,3,Depreciation,Expense,87672
2022-04-01,3,Professional Services,Expense,74847
2022-04-01,4,Gross Written Premium,Income,354894
2022-04-01,4,Net Earned Premium,Income,220706
2022-04-01,4,Reinsurance Recoveries,Income,38251
2022-04-01,4,Investment Income,Income,113481
2022-04-01,4,Commission Income,Income,384710
2022-04-01,4,Claims Paid,Claims,30945
2022-04-01,4,Claims Incurred,Claims,37217
2022-04-01,4,Loss Adjustment Expenses,Claims,13308
2022-04-01,4,Staff Costs,Expense,6949
2022-04-01,4,IT Expenses,Expense,52990
2022-04-01,4,Marketing,Expense,2150
2022-04-01,4,Office Costs,Expense,90480
2022-04-01,4,Depreciation,Expense,75740
2022-04-01,4,Professional Services,Expense,67617
2022-04-01,5,Gross Written Premium,Income,235913
2022-04-01,5,Net Earned Premium,Income,289040
2022-04-01,5,Reinsurance Recoveries,Income,402942
2022-04-01,5,Investment Income,Income,187247
2022-04-01,5,Commission Income,Income,148877
2022-04-01,5,Claims Paid,Claims,10237
2022-04-01,5,Claims Incurred,Claims,25056
2022-04-01,5,Loss Adjustment Expenses,Claims,181615
2022-04-01,5,Staff Costs,Expense,57556
2022-04-01,5,IT Expenses,Expense,4343
2022-04-01,5,Marketing,Expense,14500
2022-04-01,5,Office Costs,Expense,54222
2022-04-01,5,Depreciation,Expense,30375
2022-04-01,5,Professional Services,Expense,10662
2022-04-01,6,Gross Written Premium,Income,26964
2022-04-01,6,Net Earned Premium,Income,123429
2022-04-01,6,Reinsurance Recoveries,Income,262764
2022-04-01,6,Investment Income,Income,200710
2022-04-01,6,Commission Income,Income,476882
2022-04-01,6,Claims Paid,Claims,221139
2022-04-01,6,Claims Incurred,Claims,72215
2022-04-01,6,Loss Adjustment Expenses,Claims,149356
2022-04-01,6,Staff Costs,Expense,73789
2022-04-01,6,IT Expenses,Expense,85664
2022-04-01,6,Marketing,Expense,94468
2022-04-01,6,Office Costs,Expense,62389
2022-04-01,6,Depreciation,Expense,10435
2022-04-01,6,Professional Services,Expense,55340
2022-04-01,7,Gross Written Premium,Income,185150
2022-04-01,7,Net Earned Premium,Income,350976
2022-04-01,7,Reinsurance Recoveries,Income,61293
2022-04-01,7,Investment Income,Income,499197
2022-04-01,7,Commission Income,Income,88781
2022-04-01,7,Claims Paid,Claims,196475
2022-04-01,7,Claims Incurred,Claims,165196
2022-04-01,7,Loss Adjustment Expenses,Claims,231507
2022-04-01,7,Staff Costs,Expense,44919
2022-04-01,7,IT Expenses,Expense,36247
2022-04-01,7,Marketing,Expense,95758
2022-04-01,7,Office Costs,Expense,92747
2022-04-01,7,Depreciation,Expense,63752
2022-04-01,7,Professional Services,Expense,57573
2022-04-01,8,Gross Written Premium,Income,69101
2022-04-01,8,Net Earned Premium,Income,298790
2022-04-01,8,Reinsurance Recoveries,Income,376329
2022-04-01,8,Investment Income,Income,33049
2022-04-01,8,Commission Income,Income,220677
2022-04-01,8,Claims Paid,Claims,73385
2022-04-01,8,Claims Incurred,Claims,131131
2022-04-01,8,Loss Adjustment Expenses,Claims,201489
2022-04-01,8,Staff Costs,Expense,24289
2022-04-01,8,IT Expenses,Expense,10823
2022-04-01,8,Marketing,Expense,61160
2022-04-01,8,Office Costs,Expense,42975
2022-04-01,8,Depreciation,Expense,10540
2022-04-01,8,Professional Services,Expense,17364
2022-04-01,9,Gross Written Premium,Income,407827
2022-04-01,9,Net Earned Premium,Income,37663
2022-04-01,9,Reinsurance Recoveries,Income,61991
2022-04-01,9,Investment Income,Income,198751
2022-04-01,9,Commission Income,Income,376326
2022-04-01,9,Claims Paid,Claims,167049
2022-04-01,9,Claims Incurred,Claims,99704
2022-04-01,9,Loss Adjustment Expenses,Claims,54115
2022-04-01,9,Staff Costs,Expense,92007
2022-04-01,9,IT Expenses,Expense,89223
2022-04-01,9,Marketing,Expense,61890
2022-04-01,9,Office Costs,Expense,67387
2022-04-01,9,Depreciation,Expense,19071
2022-04-01,9,Professional Services,Expense,60275
2022-04-01,10,Gross Written Premium,Income,475585
2022-04-01,10,Net Earned Premium,Income,21938
2022-04-01,10,Reinsurance Recoveries,Income,438411
2022-04-01,10,Investment Income,Income,363824
2022-04-01,10,Commission Income,Income,14000
2022-04-01,10,Claims Paid,Claims,206660
2022-04-01,10,Claims Incurred,Claims,256492
2022-04-01,10,Loss Adjustment Expenses,Claims,43304
2022-04-01,10,Staff Costs,Expense,70449
2022-04-01,10,IT Expenses,Expense,83986
2022-04-01,10,Marketing,Expense,90643
2022-04-01,10,Office Costs,Expense,21764
2022-04-01,10,Depreciation,Expense,87027
2022-04-01,10,Professional Services,Expense,39494
2022-05-01,1,Gross Written Premium,Income,275517
2022-05-01,1,Net Earned Premium,Income,153233
2022-05-01,1,Reinsurance Recoveries,Income,107532
2022-05-01,1,Investment Income,Income,364802
2022-05-01,1,Commission Income,Income,395777
2022-05-01,1,Claims Paid,Claims,105386
2022-05-01,1,Claims Incurred,Claims,32350
2022-05-01,1,Loss Adjustment Expenses,Claims,98008
2022-05-01,1,Staff Costs,Expense,95297
2022-05-01,1,IT Expenses,Expense,26351
2022-05-01,1,Marketing,Expense,89668
2022-05-01,1,Office Costs,Expense,16305
2022-05-01,1,Depreciation,Expense,76353
2022-05-01,1,Professional Services,Expense,77797
2022-05-01,2,Gross Written Premium,Income,75953
2022-05-01,2,Net Earned Premium,Income,329602
2022-05-01,2,Reinsurance Recoveries,Income,292502
2022-05-01,2,Investment Income,Income,13267
2022-05-01,2,Commission Income,Income,92745
2022-05-01,2,Claims Paid,Claims,162164
2022-05-01,2,Claims Incurred,Claims,16338
2022-05-01,2,Loss Adjustment Expenses,Claims,136484
2022-05-01,2,Staff Costs,Expense,8543
2022-05-01,2,IT Expenses,Expense,34496
2022-05-01,2,Marketing,Expense,61692
2022-05-01,2,Office Costs,Expense,90084
2022-05-01,2,Depreciation,Expense,93920
2022-05-01,2,Professional Services,Expense,45425
2022-05-01,3,Gross Written Premium,Income,48756
2022-05-01,3,Net Earned Premium,Income,28888
2022-05-01,3,Reinsurance Recoveries,Income,176807
2022-05-01,3,Investment Income,Income,319439
2022-05-01,3,Commission Income,Income,124352
2022-05-01,3,Claims Paid,Claims,90999
2022-05-01,3,Claims Incurred,Claims,22955
2022-05-01,3,Loss Adjustment Expenses,Claims,75640
2022-05-01,3,Staff Costs,Expense,66510
2022-05-01,3,IT Expenses,Expense,35911
2022-05-01,3,Marketing,Expense,60031
