Year,Month,DepartmentID,Account,BudgetAmount
2022,4,1,Claims Paid,202478
2022,4,1,Claims Incurred,175591
2022,4,1,Loss Adjustment Expenses,316793
2022,4,1,Staff Costs,170596
2022,4,1,IT Expenses,169957
2022,4,1,Marketing,237204
2022,4,1,Office Costs,362546
2022,4,1,Depreciation,297820
2022,4,1,Professional Services,331237
2022,4,2,Gross Written Premium,186871
2022,4,2,Net Earned Premium,346558
2022,4,2,Reinsurance Recoveries,360239
2022,4,2,Investment Income,248154
2022,4,2,Commission Income,77307
2022,4,2,Claims Paid,362576
2022,4,2,Claims Incurred,299067
2022,4,2,Loss Adjustment Expenses,384593
2022,4,2,Staff Costs,240998
2022,4,2,IT Expenses,314718
2022,4,2,Marketing,126757
2022,4,2,Office Costs,58664
2022,4,2,Depreciation,334528
2022,4,2,Professional Services,298171
2022,4,3,Gross Written Premium,171536
2022,4,3,Net Earned Premium,301629
2022,4,3,Reinsurance Recoveries,264438
2022,4,3,Investment Income,155528
2022,4,3,Commission Income,302698
2022,4,3,Claims Paid,314066
2022,4,3,Claims Incurred,280553
2022,4,3,Loss Adjustment Expenses,205399
2022,4,3,Staff Costs,227472
2022,4,3,IT Expenses,303783
2022,4,3,Marketing,236182
2022,4,3,Office Costs,286836
2022,4,3,Depreciation,94037
2022,4,3,Professional Services,214912
2022,4,4,Gross Written Premium,190272
2022,4,4,Net Earned Premium,229135
2022,4,4,Reinsurance Recoveries,193487
2022,4,4,Investment Income,23074
2022,4,4,Commission Income,151621
2022,4,4,Claims Paid,297107
2022,4,4,Claims Incurred,232434
2022,4,4,Loss Adjustment Expenses,237679
2022,4,4,Staff Costs,57265
2022,4,4,IT Expenses,21061
2022,4,4,Marketing,164882
2022,4,4,Office Costs,118502
2022,4,4,Depreciation,289944
2022,4,4,Professional Services,383336
2022,4,5,Gross Written Premium,261505
2022,4,5,Net Earned Premium,112228
2022,4,5,Reinsurance Recoveries,211548
2022,4,5,Investment Income,295198
2022,4,5,Commission Income,181469
2022,4,5,Claims Paid,18233
2022,4,5,Claims Incurred,247277
2022,4,5,Loss Adjustment Expenses,161140
2022,4,5,Staff Costs,332871
2022,4,5,IT Expenses,357754
2022,4,5,Marketing,337597
2022,4,5,Office Costs,109135
2022,4,5,Depreciation,375608
2022,4,5,Professional Services,222314
2022,4,6,Gross Written Premium,18682
2022,4,6,Net Earned Premium,159455
2022,4,6,Reinsurance Recoveries,325304
2022,4,6,Investment Income,229404
2022,4,6,Commission Income,290810
2022,4,6,Claims Paid,325961
2022,4,6,Claims Incurred,96198
2022,4,6,Loss Adjustment Expenses,46830
2022,4,6,Staff Costs,15234
2022,4,6,IT Expenses,62616
2022,4,6,Marketing,276365
2022,4,6,Office Costs,147482
2022,4,6,Depreciation,216127
2022,4,6,Professional Services,197485
2022,4,7,Gross Written Premium,6051
2022,4,7,Net Earned Premium,377673
2022,4,7,Reinsurance Recoveries,81918
2022,4,7,Investment Income,83116
2022,4,7,Commission Income,389370
2022,4,7,Claims Paid,233931
2022,4,7,Claims Incurred,311901
2022,4,7,Loss Adjustment Expenses,388152
2022,4,7,Staff Costs,213547
2022,4,7,IT Expenses,231572
2022,4,7,Marketing,136379
2022,4,7,Office Costs,61889
2022,4,7,Depreciation,231256
2022,4,7,Professional Services,303088
2022,4,8,Gross Written Premium,366699
2022,4,8,Net Earned Premium,43134
2022,4,8,Reinsurance Recoveries,207834
2022,4,8,Investment Income,232579
2022,4,8,Commission Income,30954
2022,4,8,Claims Paid,191093
2022,4,8,Claims Incurred,357103
2022,4,8,Loss Adjustment Expenses,231999
2022,4,8,Staff Costs,215938
2022,4,8,IT Expenses,206499
2022,4,8,Marketing,272136
2022,4,8,Office Costs,6961
2022,4,8,Depreciation,17497
2022,4,8,Professional Services,261446
2022,4,9,Gross Written Premium,280399
2022,4,9,Net Earned Premium,140639
2022,4,9,Reinsurance Recoveries,315991
2022,4,9,Investment Income,240889
2022,4,9,Commission Income,184075
2022,4,9,Claims Paid,25389
2022,4,9,Claims Incurred,180595
2022,4,9,Loss Adjustment Expenses,390946
2022,4,9,Staff Costs,328720
2022,4,9,IT Expenses,311063
2022,4,9,Marketing,218175
2022,4,9,Office Costs,8358
2022,4,9,Depreciation,355679
2022,4,9,Professional Services,257557
2022,4,10,Gross Written Premium,212596
2022,4,10,Net Earned Premium,259488
2022,4,10,Reinsurance Recoveries,110982
2022,4,10,Investment Income,233129
2022,4,10,Commission Income,272842
2022,4,10,Claims Paid,333953
2022,4,10,Claims Incurred,98079
2022,4,10,Loss Adjustment Expenses,60805
2022,4,10,Staff Costs,167421
2022,4,10,IT Expenses,212849
2022,4,10,Marketing,342177
2022,4,10,Office Costs,243483
2022,4,10,Depreciation,365383
2022,4,10,Professional Services,397551
2022,5,1,Gross Written Premium,49041
2022,5,1,Net Earned Premium,299098
2022,5,1,Reinsurance Recoveries,275146
2022,5,1,Investment Income,336927
2022,5,1,Commission Income,112524
2022,5,1,Claims Paid,223306
2022,5,1,Claims Incurred,392001
2022,5,1,Loss Adjustment Expenses,24738
2022,5,1,Staff Costs,277847
2022,5,1,IT Expenses,118776
2022,5,1,Marketing,185494
2022,5,1,Office Costs,197971
2022,5,1,Depreciation,311868
2022,5,1,Professional Services,299443
2022,5,2,Gross Written Premium,282785
2022,5,2,Net Earned Premium,346678
2022,5,2,Reinsurance Recoveries,273449
2022,5,2,Investment Income,234334
2022,5,2,Commission Income,285926
2022,5,2,Claims Paid,345401
2022,5,2,Claims Incurred,241371
2022,5,2,Loss Adjustment Expenses,82963
2022,5,2,Staff Costs,126987
2022,5,2,IT Expenses,156638
2022,5,2,Marketing,129591
2022,5,2,Office Costs,72766
2022,5,2,Depreciation,11511
2022,5,2,Professional Services,119816
2022,5,3,Gross Written Premium,254432
2022,5,3,Net Earned Premium,271909
2022,5,3,Reinsurance Recoveries,156426
2022,5,3,Investment Income,291073
2022,5,3,Commission Income,164892
2022,5,3,Claims Paid,116576
2022,5,3,Claims Incurred,76088
2022,5,3,Loss Adjustment Expenses,82525
2022,5,3,Staff Costs,18780
2022,5,3,IT Expenses,273733
2022,5,3,Marketing,360808
2022,5,3,Office Costs,109188
2022,5,3,Depreciation,98326
2022,5,3,Professional Services,308097
2022,5,4,Gross Written Premium,70785
2022,5,4,Net Earned Premium,24309
2022,5,4,Reinsurance Recoveries,59195
2022,5,4,Investment Income,30901
2022,5,4,Commission Income,159648
2022,5,4,Claims Paid,30464
2022,5,4,Claims Incurred,283404
2022,5,4,Loss Adjustment Expenses,129997
2022,5,4,Staff Costs,302584
2022,5,4,IT Expenses,362226
2022,5,4,Marketing,372727
2022,5,4,Office Costs,61683
2022,5,4,Depreciation,391350
2022,5,4,Professional Services,177502
2022,5,5,Gross Written Premium,161177
2022,5,5,Net Earned Premium,83484
2022,5,5,Reinsurance Recoveries,254819
2022,5,5,Investment Income,335453
2022,5,5,Commission Income,313071
2022,5,5,Claims Paid,211486
2022,5,5,Claims Incurred,310090
2022,5,5,Loss Adjustment Expenses,393647
2022,5,5,Staff Costs,146449
2022,5,5,IT Expenses,58592
2022,5,5,Marketing,143419
2022,5,5,Office Costs,300920
2022,5,5,Depreciation,60798
2022,5,5,Professional Services,140370
2022,5,6,Gross Written Premium,337348
2022,5,6,Net Earned Premium,353351
2022,5,6,Reinsurance Recoveries,367500
2022,5,6,Investment Income,327796
2022,5,6,Commission Income,396716
2022,5,6,Claims Paid,248767
2022,5,6,Claims Incurred,25922
2022,5,6,Loss Adjustment Expenses,344140
2022,5,6,Staff Costs,297410
2022,5,6,IT Expenses,231817
2022,5,6,Marketing,7866
2022,5,6,Office Costs,117669
2022,5,6,Depreciation,273042
2022,5,6,Professional Services,285539
2022,5,7,Gross Written Premium,175091
2022,5,7,Net Earned Premium,271150
2022,5,7,Reinsurance Recoveries,170465
2022,5,7,Investment Income,278100
2022,5,7,Commission Income,362820
2022,5,7,Claims Paid,126724
2022,5,7,Claims Incurred,67901
2022,5,7,Loss Adjustment Expenses,374371
2022,5,7,Staff Costs,205569
2022,5,7,IT Expenses,122192
2022,5,7,Marketing,177646
2022,5,7,Office Costs,298561
2022,5,7,Depreciation,355164
2022,5,7,Professional Services,350783
2022,5,8,Gross Written Premium,99881
2022,5,8,Net Earned Premium,247934
2022,5,8,Reinsurance Recoveries,137659
2022,5,8,Investment Income,126688
2022,5,8,Commission Income,120584
2022,5,8,Claims Paid,190782
2022,5,8,Claims Incurred,353711
2022,5,8,Loss Adjustment Expenses,227820
2022,5,8,Staff Costs,343030
2022,5,8,IT Expenses,221896
2022,5,8,Marketing,296576
2022,5,8,Office Costs,184689
2022,5,8,Depreciation,339517
2022,5,8,Professional Services,170289
2022,5,9,Gross Written Premium,288028
2022,5,9,Net Earned Premium,272598
2022,5,9,Reinsurance Recoveries,79960
2022,5,9,Investment Income,107421
2022,5,9,Commission Income,243245
2022,5,9,Claims Paid,48618
2022,5,9,Claims Incurred,52111
2022,5,9,Loss Adjustment Expenses,221750
2022,5,9,Staff Costs,125592
2022,5,9,IT Expenses,239000
2022,5,9,Marketing,260989
2022,5,9,Office Costs,327137
2022,5,9,Depreciation,133652
2022,5,9,Professional Services,83672
2022,5,10,Gross Written Premium,255351
2022,5,10,Net Earned Premium,333269
2022,5,10,Reinsurance Recoveries,222516
2022,5,10,Investment Income,384653
2022,5,10,Commission Income,66602
2022,5,10,Claims Paid,208117
2022,5,10,Claims Incurred,242069
2022,5,10,Loss Adjustment Expenses,47222
2022,5,10,Staff Costs,316367
2022,5,10,IT Expenses,246084
2022,5,10,Marketing,247318
2022,5,10,Office Costs,70333
2022,5,10,Depreciation,188804
2022,5,10,Professional Services,389794
2022,6,1,Gross Written Premium,54420
2022,6,1,Net Earned Premium,80504
2022,6,1,Reinsurance Recoveries,7462
2022,6,1,Investment Income,276604
2022,6,1,Commission Income,104319
2022,6,1,Claims Paid,261674
2022,6,1,Claims Incurred,145347
2022,6,1,Loss Adjustment Expenses,149341
2022,6,1,Staff Costs,134593
2022,6,1,IT Expenses,127672
2022,6,1,Marketing,340064
2022,6,1,Office Costs,289697
2022,6,1,Depreciation,49036
2022,6,1,Professional Services,153441
2022,6,2,Gross Written Premium,147867
2022,6,2,Net Earned Premium,75021
2022,6,2,Reinsurance Recoveries,374349
2022,6,2,Investment Income,166215
2022,6,2,Commission Income,355353
2022,6,2,Claims Paid,342283
2022,6,2,Claims Incurred,241304
2022,6,2,Loss Adjustment Expenses,10368
2022,6,2,Staff Costs,140693
2022,6,2,IT Expenses,63829
2022,6,2,Marketing,396180
2022,6,2,Office Costs,281863
2022,6,2,Depreciation,34227
2022,6,2,Professional Services,114430
2022,6,3,Gross Written Premium,17306
2022,6,3,Net Earned Premium,58822
2022,6,3,Reinsurance Recoveries,29042
2022,6,3,Investment Income,153459
2022,6,3,Commission Income,94424
2022,6,3,Claims Paid,187690
2022,6,3,Claims Incurred,228122
2022,6,3,Loss Adjustment Expenses,154395
2022,6,3,Staff Costs,23019
2022,6,3,IT Expenses,342570
2022,6,3,Marketing,45863
2022,6,3,Office Costs,116023
2022,6,3,Depreciation,146355
2022,6,3,Professional Services,314143
2022,6,4,Gross Written Premium,67780
2022,6,4,Net Earned Premium,290052
2022,6,4,Reinsurance Recoveries,197656
2022,6,4,Investment Income,393422
2022,6,4,Commission Income,380146
2022,6,4,Claims Paid,174024
2022,6,4,Claims Incurred,105706
2022,6,4,Loss Adjustment Expenses,173735
2022,6,4,Staff Costs,127019
2022,6,4,IT Expenses,376852
2022,6,4,Marketing,197453
2022,6,4,Office Costs,184001
2022,6,4,Depreciation,276487
2022,6,4,Professional Services,343317
2022,6,5,Gross Written Premium,105260
2022,6,5,Net Earned Premium,175863
2022,6,5,Reinsurance Recoveries,165206
2022,6,5,Investment Income,183173
2022,6,5,Commission Income,74443
2022,6,5,Claims Paid,235183
2022,6,5,Claims Incurred,324674
2022,6,5,Loss Adjustment Expenses,140899
2022,6,5,Staff Costs,101143
2022,6,5,IT Expenses,198725
2022,6,5,Marketing,149771
2022,6,5,Office Costs,381671
2022,6,5,Depreciation,253044
2022,6,5,Professional Services,141385
2022,6,6,Gross Written Premium,149670
2022,6,6,Net Earned Premium,116362
2022,6,6,Reinsurance Recoveries,251517
2022,6,6,Investment Income,295951
2022,6,6,Commission Income,205462
2022,6,6,Claims Paid,181298
2022,6,6,Claims Incurred,64550
2022,6,6,Loss Adjustment Expenses,270702
2022,6,6,Staff Costs,317257
2022,6,6,IT Expenses,320143
2022,6,6,Marketing,191950
2022,6,6,Office Costs,63219
2022,6,6,Depreciation,171258
2022,6,6,Professional Services,169841
2022,6,7,Gross Written Premium,256004
2022,6,7,Net Earned Premium,262336
2022,6,7,Reinsurance Recoveries,241495
2022,6,7,Investment Income,58218
2022,6,7,Commission Income,286373
2022,6,7,Claims Paid,342353
